annualized_return_informational_only,annualized_return_percent,annualized_return_warning,base_case_id,cagr_approx_percent,calmar_ratio,canonical_symbol,case_failed_gates,case_id,case_level_classification,consecutive_losses,deposit,execution_status,failed_gates,largest_loss,largest_win,max_drawdown,max_relative_drawdown_percent,monthly_return_estimate,net_profit,phase,phase_classification,profit_factor,relative_drawdown,research_classification,return_to_drawdown_ratio,risk_adjusted_classification,run_id,score,symbol,test_period_days,timeframe,total_trades
True,-0.2384,low_trade_count,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,-0.2387,-0.3559,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.42,14.25,66.78,0.67,-0.0199,-47.75,train,INSUFFICIENT_TRADES,0.49,0.67,INSUFFICIENT_TRADES,-0.7127,NOT_VIABLE,run_20260621_205032,,EURUSD,731,H1,21
True,0.1251,low_trade_count,EURUSD_H1_EXIT_TRAILING_LOOSER_10000,0.1251,0.3574,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_TRAILING_LOOSER_10000_validation,REJECTED,4,10000,PASS,insufficient_trades,-10.45,19.05,34.71,0.35,0.0104,12.51,validation,INSUFFICIENT_TRADES,1.13,0.35,INSUFFICIENT_TRADES,0.3574,NOT_VIABLE,run_20260621_205032,,EURUSD,365,H1,22
True,0.1957,short_test_period,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,0.1958,0.2609,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_out_of_sample,REJECTED,4,10000,PASS,,-9.96,18.83,75.3,0.75,0.0163,9.06,out_of_sample,VALID_RESULT,1.04,0.75,VALID_RESULT,0.1208,NOT_VIABLE,run_20260621_205032,15.71,EURUSD,169,H1,78
True,-0.2278,low_trade_count,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,-0.2281,-0.3862,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.42,9.48,58.97,0.59,-0.019,-45.63,train,INSUFFICIENT_TRADES,0.52,0.59,INSUFFICIENT_TRADES,-0.7734,NOT_VIABLE,run_20260621_205032,,EURUSD,731,H1,24
False,-0.4931,,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000,-0.4931,-0.6575,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_EXIT_TRAILING_TIGHTER_10000_validation,REJECTED,4,10000,PASS,,-10.45,17,75.41,0.75,-0.0411,-49.31,validation,VALID_RESULT,0.89,0.75,VALID_RESULT,-0.6575,NOT_VIABLE,run_20260621_205032,-44.16,EURUSD,365,H1,146
True,-1.3384,short_test_period,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,-1.3336,-0.8262,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_out_of_sample,REJECTED,6,10000,PASS,,-20.55,19.65,163.72,1.62,-0.1115,-61.97,out_of_sample,VALID_RESULT,0.86,1.62,VALID_RESULT,-0.3825,NOT_VIABLE,run_20260621_214917,-61.47,EURUSD,169,H1,116
False,-2.1287,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,-2.152,-0.4628,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_train,REJECTED,8,10000,PASS,,-10.03,19.08,461.06,4.6,-0.1774,-426.33,train,VALID_RESULT,0.82,4.6,VALID_RESULT,-0.9268,NOT_VIABLE,run_20260621_214917,-441.13,EURUSD,731,H1,567
False,-1.6867,,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000,-1.6867,-0.6224,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_RISKGATE_FIXED_COOLDOWN_24BARS_10000_validation,REJECTED,12,10000,PASS,,-10.45,20.4,273.91,2.71,-0.1406,-168.67,validation,VALID_RESULT,0.83,2.71,VALID_RESULT,-0.6224,NOT_VIABLE,run_20260621_214917,-173.92,EURUSD,365,H1,248
True,-1.3384,short_test_period,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,-1.3336,-0.8262,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_out_of_sample,REJECTED,6,10000,PASS,,-20.55,19.65,163.72,1.62,-0.1115,-61.97,out_of_sample,VALID_RESULT,0.86,1.62,VALID_RESULT,-0.3825,NOT_VIABLE,run_20260621_214917,-61.47,EURUSD,169,H1,116
False,-2.2348,,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,-2.2604,-0.4725,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_train,REJECTED,7,10000,PASS,,-10.03,19.08,474.36,4.73,-0.1862,-447.57,train,VALID_RESULT,0.81,4.73,VALID_RESULT,-0.9462,NOT_VIABLE,run_20260621_214917,-463.12,EURUSD,731,H1,582
